name,group,pass,headpass,airduel,foul,dribbling,corner,cross,kick,defense,acceleration,id,goal
Harun Tekin,Goalkeeper,0,0,0,0,0,0,0,0,0,0,32777,0
Malang Sarr,Defender,28,12,10,13,4,0,4,3,19,5,393228,0
Over Mandanda,Goalkeeper,0,0,0,0,0,0,0,0,0,0,393230,0
Alfred John Momar N'Diaye,Midfielder,2,0,2,4,1,0,0,0,6,1,32793,0
Ibrahima Konat\u00e9,Defender,16,21,14,14,4,0,0,0,18,1,393247,0
Jasper Cillessen,Goalkeeper,0,0,0,0,0,0,0,0,0,0,33,0
Toby Alderweireld,Defender,41,29,17,14,4,0,5,9,28,2,36,0
Jan Vertonghen,Defender,73,73,50,27,13,0,14,12,62,14,48,0
Alexander Djiku,Defender,30,49,31,45,5,0,2,6,55,6,229427,0
Christian  Dannemann Eriksen,Midfielder,61,27,11,14,36,72,41,48,45,36,54,11
Marcel Sabitzer,Midfielder,22,22,7,11,24,6,27,27,24,9,65596,3
Kolbeinn Sig\u00fe\u00f3rsson,Forward,1,13,19,7,3,0,0,2,6,0,66,0
Charles Traor\u00e9,Defender,33,35,20,33,13,0,26,4,62,21,393284,0
Niklas Moisander,Defender,36,40,17,36,5,0,3,6,35,7,77,2
Charlison Benschop,Forward,1,2,3,4,3,0,1,2,3,0,91,1
Johann  Berg Gu\u00f0munds\u00adson,Midfielder,23,25,23,24,38,50,41,27,47,35,93,2
Przemys\u0142aw Tyto\u0144,Goalkeeper,0,0,0,0,0,0,0,0,0,0,99,0
Marcelo Ant\u00f4nio Guedes Filho,Defender,55,41,41,34,3,0,1,9,38,2,102,3
Jetro Willems,Defender,14,18,9,25,22,24,16,9,33,9,110,0
Ali Adnan Kadhim Al Tameemi,Defender,14,22,20,21,15,10,23,5,37,12,131184,0
Kevin Strootman,Midfielder,37,22,13,49,15,0,12,9,46,11,114,1
Memphis Depay,Forward,30,7,10,37,54,46,22,45,20,46,118,19
Dries Mertens,Forward,30,10,9,41,43,4,28,58,30,15,122,18
Ola Toivonen,Forward,9,15,29,34,6,0,2,10,11,4,123,0
Stefan de Vrij,Defender,39,50,15,18,3,0,0,5,36,4,130,6
Karim El Ahmadi Al Aroos,Midfielder,3,3,2,9,1,0,1,0,7,0,142,0
John Guidetti,Forward,9,24,22,29,15,0,8,15,11,5,151,3
Volkan Babacan,Goalkeeper,0,0,0,0,0,0,0,0,2,0,32923,0
Jeffrey Gouweleeuw,Defender,27,37,28,34,6,0,4,6,51,5,159,0
Filip \u0110uri\u010di\u0107,Midfielder,10,3,5,7,18,3,3,6,14,41,174,0
Peter Pekar\u00edk,Defender,18,26,8,14,8,0,11,4,37,21,32959,0
Jago\u0161 Vukovi\u0107,Defender,12,26,14,5,4,0,1,1,9,0,192,1
Nordin Amrabat,Forward,13,6,15,67,64,1,34,18,30,36,32968,0
Christian Kouakou Yao,Forward,3,3,4,17,11,0,6,10,14,6,131321,1
Roberto Jos\u00e9 Rosales Altuve,Defender,36,38,22,48,13,22,38,7,74,7,254,1
Nacer Chadli,Midfielder,6,4,4,3,5,4,6,3,7,6,261,1
Robin Gosens,Defender,19,11,6,23,7,0,16,4,32,13,295176,1
Yacine Bammou,Forward,6,6,8,20,8,0,9,9,14,7,229697,3
Florian Le Joncour,Defender,0,0,0,0,0,0,0,0,0,0,328021,0
Andr\u00e9 Ramalho Silva,Defender,0,1,0,0,0,0,0,0,1,0,65880,0
Davide Borsellini,Goalkeeper,0,0,0,0,0,0,0,0,0,0,393566,0
Leon-Aderemi Balogun,Defender,13,22,18,29,5,0,0,3,39,8,16443,0
Godfred Donsah,Midfielder,16,17,12,17,19,0,5,9,21,21,295273,2
Hyun-Jun Suk,Forward,5,20,35,41,19,0,6,12,12,7,382,6
Du\u0161an Tadi\u0107,Midfielder,31,14,14,53,60,16,42,18,45,38,383,0
Bram Nuytinck,Defender,30,32,19,30,2,0,1,6,47,1,394,1
Lasse Sch\u00f6ne,Midfielder,3,3,2,1,1,0,1,2,3,0,405,0
Ablie Jallow,Midfielder,1,0,1,1,2,0,1,1,3,2,376908,0
Bogdan Sorin Stancu,Forward,2,3,4,2,2,0,1,2,2,3,33235,0
Gregor Kobel,Goalkeeper,0,0,0,0,0,0,0,0,0,0,328190,0
Denis Lemi Zakaria Lako Lado,Midfielder,27,14,10,63,23,0,3,8,54,14,360992,2
